
C:\Users\matias.araya.cohen\Documents\ITAU-ConsolodicacionDeSistemas\server-discovery>netstat -no 

Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:55040        127.0.0.1:50873        FIN_WAIT_2      3792
  TCP    127.0.0.1:55040        127.0.0.1:50876        FIN_WAIT_2      3792
  TCP    127.0.0.1:55040        127.0.0.1:50878        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50881        ESTABLISHED     3792
  TCP    127.0.0.1:55040        127.0.0.1:50883        ESTABLISHED     3792
  TCP    127.0.0.1:55040        127.0.0.1:50885        FIN_WAIT_2      3792
  TCP    127.0.0.1:55040        127.0.0.1:50891        FIN_WAIT_2      3792
  TCP    127.0.0.1:55040        127.0.0.1:50892        FIN_WAIT_2      3792
  TCP    127.0.0.1:55040        127.0.0.1:50895        FIN_WAIT_2      3792
  TCP    127.0.0.1:55040        127.0.0.1:50897        FIN_WAIT_2      3792
  TCP    127.0.0.1:55040        127.0.0.1:50899        FIN_WAIT_2      3792
  TCP    127.0.0.1:55040        127.0.0.1:50901        FIN_WAIT_2      3792
  TCP    127.0.0.1:55040        127.0.0.1:50903        FIN_WAIT_2      3792
  TCP    127.0.0.1:55040        127.0.0.1:50905        ESTABLISHED     3792
  TCP    127.0.0.1:55040        127.0.0.1:50907        CLOSE_WAIT      3792
  TCP    127.0.0.1:55040        127.0.0.1:50909        ESTABLISHED     3792
  TCP    127.0.0.1:55040        127.0.0.1:50911        ESTABLISHED     3792
  TCP    127.0.0.1:55040        127.0.0.1:50913        ESTABLISHED     3792
  TCP    127.0.0.1:55040        127.0.0.1:50915        CLOSE_WAIT      3792
  TCP    127.0.0.1:55040        127.0.0.1:50922        CLOSE_WAIT      3792
  TCP    127.0.0.1:55040        127.0.0.1:53057        CLOSE_WAIT      3792
  TCP    127.0.0.1:55040        127.0.0.1:53061        CLOSE_WAIT      3792
  TCP    127.0.0.1:55040        127.0.0.1:53065        CLOSE_WAIT      3792
  TCP    127.0.0.1:55040        127.0.0.1:53159        CLOSE_WAIT      3792
  TCP    127.0.0.1:55040        127.0.0.1:53186        CLOSE_WAIT      3792
  TCP    127.0.0.1:55040        127.0.0.1:53256        CLOSE_WAIT      3792
  TCP    127.0.0.1:55040        127.0.0.1:53294        CLOSE_WAIT      3792
  TCP    127.0.0.1:55040        127.0.0.1:54508        CLOSE_WAIT      3792
  TCP    127.0.0.1:55040        127.0.0.1:54878        CLOSE_WAIT      3792
  TCP    127.0.0.1:55040        127.0.0.1:54887        CLOSE_WAIT      3792
